trial_id,mode,seed,success,final_path_exists,history_length
1,uncertain_sparse,1,True,True,5
2,uncertain_sparse,2,True,True,5
3,uncertain_sparse,3,True,True,5
4,uncertain_sparse,4,True,True,5
5,uncertain_sparse,5,True,True,5
6,uncertain_sparse,6,True,True,5
7,uncertain_sparse,7,True,True,5
8,uncertain_sparse,8,True,True,5
9,uncertain_sparse,9,True,True,5
10,uncertain_sparse,10,True,True,5
11,uncertain_clustered,1,True,True,7
12,uncertain_clustered,2,True,True,7
13,uncertain_clustered,3,True,True,7
14,uncertain_clustered,4,True,True,7
15,uncertain_clustered,5,True,True,7
16,uncertain_clustered,6,True,True,7
17,uncertain_clustered,7,True,True,7
18,uncertain_clustered,8,True,True,7
19,uncertain_clustered,9,True,True,7
20,uncertain_clustered,10,True,True,7
21,blocked_moving,1,True,True,7
22,blocked_moving,2,True,True,7
23,blocked_moving,3,True,True,7
24,blocked_moving,4,True,True,7
25,blocked_moving,5,True,True,7
26,blocked_moving,6,True,True,7
27,blocked_moving,7,True,True,7
28,blocked_moving,8,True,True,7
29,blocked_moving,9,True,True,7
30,blocked_moving,10,True,True,7
31,blocked_permanent,1,True,True,7
32,blocked_permanent,2,True,True,7
33,blocked_permanent,3,True,True,7
34,blocked_permanent,4,True,True,7
35,blocked_permanent,5,True,True,7
36,blocked_permanent,6,True,True,7
37,blocked_permanent,7,True,True,7
38,blocked_permanent,8,True,True,7
39,blocked_permanent,9,True,True,7
40,blocked_permanent,10,True,True,7
