trial,mode,seed,start_x,start_y,goal_x,goal_y,path_found,path_valid,path_length
0,uncertain_sparse,3,323,228,328,299,True,True,77
1,uncertain_sparse,4,192,228,239,244,True,False,64
2,uncertain_sparse,5,119,233,166,257,True,True,72
3,uncertain_sparse,6,75,170,171,286,True,False,213
4,uncertain_sparse,7,172,249,130,208,True,False,98
5,uncertain_sparse,8,78,226,88,260,True,False,45
6,uncertain_sparse,9,163,281,284,260,True,False,143
7,uncertain_sparse,10,88,135,216,273,True,False,267
8,uncertain_sparse,11,330,278,167,305,True,False,201
9,uncertain_sparse,12,62,284,178,236,True,True,165
10,uncertain_sparse,13,69,234,261,241,True,False,200
11,uncertain_sparse,14,315,189,334,295,True,False,158
12,uncertain_sparse,15,333,221,319,108,True,False,156
13,uncertain_sparse,16,76,258,289,282,True,False,306
14,uncertain_sparse,17,280,294,107,270,True,False,236
15,uncertain_clustered,18,107,215,234,200,True,False,153
16,uncertain_clustered,19,62,143,180,294,True,False,270
17,uncertain_clustered,20,153,208,126,234,True,True,54
18,uncertain_clustered,21,190,211,71,271,True,False,202
19,uncertain_clustered,22,280,205,104,230,True,False,222
20,uncertain_clustered,23,193,241,310,172,True,False,187
21,uncertain_clustered,24,344,262,194,215,True,False,254
22,uncertain_clustered,25,237,261,322,113,True,False,234
23,uncertain_clustered,26,159,220,74,221,True,False,87
24,uncertain_clustered,27,122,285,178,238,True,True,104
25,uncertain_clustered,28,217,195,83,203,True,False,143
26,uncertain_clustered,29,69,301,56,167,True,False,162
27,uncertain_clustered,30,264,298,146,241,True,False,202
28,uncertain_clustered,31,312,109,313,282,True,True,175
29,uncertain_clustered,32,342,167,64,223,True,False,343
